HGNC ID	Approved symbol	Ensembl gene ID	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
HGNC:4793	H4C9	ENSG00000276180	ENSG00000276180	8294
HGNC:4786	H4C10P	ENSG00000217862	ENSG00000217862	10337
HGNC:4785	H4C11	ENSG00000197238	ENSG00000197238	8363
HGNC:4784	H4C12	ENSG00000273542	ENSG00000273542	8362
HGNC:4791	H4C13	ENSG00000275126	ENSG00000275126	8368
HGNC:4794	H4C14	ENSG00000270882	ENSG00000270882	8370
HGNC:29607	H4C15	ENSG00000270276	ENSG00000270276	554313
HGNC:4779	H4F2			
HGNC:4780	H4F3			
HGNC:54447	H4P1	ENSG00000240680	ENSG00000240680	115482692
HGNC:4795	H6PD	ENSG00000049239	ENSG00000049239	9563
HGNC:4713	H19	ENSG00000130600	ENSG00000130600	283120
HGNC:4796	HAAO	ENSG00000162882	ENSG00000162882	23498
HGNC:4797	HABP1			
HGNC:4798	HABP2	ENSG00000148702	ENSG00000148702	3026
HGNC:17062	HABP4	ENSG00000130956	ENSG00000130956	22927
HGNC:9639	HACD1	ENSG00000165996	ENSG00000165996	9200
HGNC:9640	HACD2	ENSG00000206527	ENSG00000206527	201562
HGNC:24175	HACD3	ENSG00000074696	ENSG00000074696	51495
HGNC:20920	HACD4	ENSG00000188921	ENSG00000188921	401494
HGNC:21033	HACE1	ENSG00000085382	ENSG00000085382	57531
HGNC:17856	HACL1	ENSG00000131373	ENSG00000131373	26061
HGNC:4799	HADH	ENSG00000138796	ENSG00000138796	3033
HGNC:4801	HADHA	ENSG00000084754	ENSG00000084754	3030
HGNC:4802	HADHAP1	ENSG00000251596	ENSG00000251596	3031
HGNC:38585	HADHAP2	ENSG00000255967	ENSG00000255967	399994
HGNC:4803	HADHB	ENSG00000138029	ENSG00000138029	3032
HGNC:54887	HADHBP1	ENSG00000238193		100287928
HGNC:4804	HADHSC			
HGNC:4805	HAGH	ENSG00000063854	ENSG00000063854	3029
HGNC:14177	HAGHL	ENSG00000103253	ENSG00000103253	84264
HGNC:43755	HAGLR	ENSG00000224189	ENSG00000224189	401022
